time,logger,level,database,message,exception
2013-08-15 13:18:13.6214,Raven.Database.Impl.DocumentCacher,Info,<system>,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3160408064
  PollingInterval     = 00:02:00",
2013-08-15 13:18:13.8946,Raven.Storage.Esent.TransactionalStorage,Info,<system>,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2013-08-15 13:18:24.4576,Raven.Database.Indexing.WorkContext,Warn,<system>,"Could not setup performance counters properly because of access permissions, perf counters will not be used","System.Security.SecurityException: Requested registry access is not allowed.
   at Microsoft.Win32.RegistryKey.OpenSubKey(String name, Boolean writable)
   at System.Diagnostics.PerformanceCounterLib.CreateRegistryEntry(String categoryName, PerformanceCounterCategoryType categoryType, CounterCreationDataCollection creationData, Boolean& iniRegistered)
   at System.Diagnostics.PerformanceCounterLib.RegisterCategory(String categoryName, PerformanceCounterCategoryType categoryType, String categoryHelp, CounterCreationDataCollection creationData)
   at System.Diagnostics.PerformanceCounterCategory.Create(String categoryName, String categoryHelp, PerformanceCounterCategoryType categoryType, CounterCreationDataCollection counterData)
   at Raven.Database.Indexing.WorkContext.SetupPerformanceCounter(String name) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\WorkContext.cs:line 337
   at Raven.Database.Indexing.WorkContext.Init(String name) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\WorkContext.cs:line 377
The Zone of the assembly that failed was:
MyComputer"
2013-08-15 13:18:25.5694,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Backup/Status' was not found,
2013-08-15 13:18:26.1167,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-08-15 13:18:26.1538,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-08-15 13:18:26.1838,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Authorization/WindowsSettings' was not found,
2013-08-15 13:19:58.3645,Raven.Database.Storage.IndexDefinitionStorage,Info,<system>,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2013-08-15 13:20:00.6770,Raven.Database.Indexing.IndexStorage,Debug,<system>,Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName,
2013-08-15 13:20:01.0763,Raven.Database.Indexing.Index.Indexing,Debug,<system>,Creating index for Raven/DocumentsByEntityName,
2013-08-15 13:20:01.1443,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 1 because: PUT INDEX Raven/DocumentsByEntityName,
2013-08-15 13:20:01.2194,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2013-08-15 13:20:01.3295,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2013-08-15 13:20:10.3995,Raven.Database.Server.HttpServer,Debug,,Request #   1: GET     -   236 ms - <system>   - 400 - /silverlight/Assets/Images/transformer_edit_delete.png,
2013-08-15 13:20:10.3995,Raven.Database.Server.HttpServer,Debug,,Request #   2: GET     -   236 ms - <system>   - 400 - /silverlight/Assets/Images/transformer_add_delete.png,
2013-08-15 13:20:12.1547,Raven.Database.Server.HttpServer,Debug,,Request #   3: GET     -    54 ms - <system>   - 200 - /docs?pageSize=0&noCache=1413871157,
2013-08-15 13:20:12.3949,Raven.Database.Server.HttpServer,Debug,,Request #   4: GET     -    42 ms - <system>   - 200 - /databases?pageSize=1024&noCache=661533584,
2013-08-15 13:20:12.4159,Raven.Database.Server.HttpServer,Debug,,Request #   5: GET     -    15 ms - <system>   - 200 - /license/status?noCache=-1688483216,
2013-08-15 13:20:12.4409,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Databases/%3Csystem%3E' was not found,
2013-08-15 13:20:12.4869,Raven.Database.Server.HttpServer,Debug,,Request #   6: GET     -    55 ms - <system>   - 404 - /databases/%3Csystem%3E/docs/Raven/Alerts?noCache=1268886026,
2013-08-15 13:20:12.4869,Raven.Database.Server.HttpServer,Debug,,Request #   7: GET     -   128 ms - <system>   - 200 - /build/version?noCache=915303019,
2013-08-15 13:20:12.4869,Raven.Database.Server.HttpServer,Debug,,Request #   8: GET     -     3 ms - <system>   - 200 - /silverlight/ensureStartup?noCache=-1075115919,
2013-08-15 13:20:13.1234,Raven.Database.Server.HttpServer,Debug,,Request #   9: GET     -    86 ms - <system>   - 200 - /debug/user-info?noCache=860819407,
2013-08-15 13:20:13.2354,Raven.Database.Server.HttpServer,Debug,<system>,Request #  10: GET     -   859 ms - <system>   - 200 - /changes/events?id=1/1c1B8i,
2013-08-15 13:20:13.3635,Raven.Database.Server.HttpServer,Debug,,"Request #  11: GET     - 1,013 ms - <system>   - 200 - /stats?noCache=-1130931498",
2013-08-15 13:20:14.5413,Raven.Database.Server.HttpServer,Debug,,Request #  12: GET     -     9 ms - <system>   - 200 - /changes/config?id=1/1c1B8i&command=watch-indexes&noCache=-635849908,
2013-08-15 13:20:14.5413,Raven.Database.Server.HttpServer,Debug,,Request #  13: GET     -    10 ms - <system>   - 200 - /changes/config?id=1/1c1B8i&command=watch-docs&noCache=448917295,
2013-08-15 13:20:14.5413,Raven.Database.Server.HttpServer,Debug,,Request #  14: GET     -    10 ms - <system>   - 200 - /changes/config?id=1/1c1B8i&command=watch-doc&value=Raven/Alerts&noCache=-161191221,
2013-08-15 13:20:14.5683,Raven.Database.Server.HttpServer,Debug,,Request #  15: GET     -     0 ms - <system>   - 200 - /changes/config?id=1/1c1B8i&command=watch-indexes&noCache=2092906040,
